sentence,snippets,target,sentiment_score,aspects,format,label
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,['Slowly adding some $FIO here but gotta be careful'],FIO,0.459,['Stock/Price Action/Bullish/Bull Position'],post,0
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",['downplay Brexit threat'],Barclays,0.0,['Corporate/Risks'],headline,1
$HRL ready to pop! http://stks.co/s0Ny4,['ready to pop!'],HRL,0.336,['Stock/Price Action/Bullish'],post,0
Spain's Caixabank launches new takeover bid for Banco BPI,['launches new takeover bid for Banco BPI'],Caixabank,0.185,['Corporate/M&A/M&A'],headline,0
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal","['AB InBev, SABMiller deal']",SABMiller,0.392,['Corporate/Sales/Deal'],headline,0
@Vegastrader66 Looks like good entry for $QIHU here.,['Looks like good entry'],QIHU,0.453,['Stock/Signal/Buy Signal'],post,0
Severn Trent share price rises as first half profit inches up as customer ...,['share price rises as first half profi'],Severn Trent,0.526,['Stock/Price Action'],headline,0
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",['China's CNPC to unveil oil alliance - sources'],CNPC,0.318,['Corporate/Rumors/Scoop'],headline,0
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",['Profit Up As Sales Continue To Ris'],Whitbread,0.385,['Corporate/Sales'],headline,0
"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04","['just broke resistance, watching for a #redtogreen #breakou']",CTRP,0.598,['Stock/Technical Analysis'],post,0
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,['has a 42.71% Float Short'],SODA,-0.392,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,['MACD CROSSOVER with RSI and STO going up'],WMT,0.574,['Stock/Technical Analysis'],post,0
$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,['Beat the estimates'],AAPL,-0.248,['Corporate/Financial/Financial Results/Earnings/Earnings Beat'],post,2
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,['UK's FTSE has worst day so far in 201'],Prudential,-0.651,['Market/Market/Market Trend'],headline,2
$COST short finally making gains. I will take half my gains at 147,['short finally making gains'],COST,-0.41,['Stock/Price Action/Volatility/Short Selling'],post,2
$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,['breakout above $29.83 would constitute a technical entry'],YHOO,0.389,['Stock/Technical Analysis'],post,0
"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",['I was buying when everyone was selling'],YNDX,0.531,['Stock/Price Action/Bullish'],post,0
$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,['Positive Top-Line Results'],AMGN,0.47,['Corporate/Sales/Sales'],post,0
$TSLA recall,['recall'],TSLA,-0.227,['Corporate/Risks/Product Recall'],post,2
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,['Stifel to buy former Lehman brokerage'],Lehman,0.164,['Corporate/M&A/Proposed Merger'],headline,0
Petrofac books further ÃÂ£30m cost for Shetland gas terminal delays,['books further ÃÂ£30m cost for Shetland gas terminal delays'],Petrofac,-0.343,['Corporate/Risks'],headline,2
"$FB trend, hits mid 110's and drops","[""hits mid 110's and drops""]",FB,-0.343,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"$ESI on lows, down $1.50 to $2.50 BK a real possibility","['on lows, down $1.50 to $2.50']",ESI,-0.465,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
FTSE edges up as investors cheer Kingfisher results,['as investors cheer Kingfisher results'],Kingfisher,0.678,['Stock/Price Action'],headline,0
"Berkshire discloses unit's ties to Iran, opens probe","['discloses unit's ties to Iran, opens probe']",Berkshire,-0.288,['Corporate/Company Communication'],headline,2
$FB gettin in the buy zone soon ;),['gettin in the buy zone soon ;)'],FB,0.361,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
$ATHN Seems like a good short setup. Stop above the 50 day. No position.,['Seems like a good short setup'],ATHN,-0.338,['Stock/Price Action/Volatility/Short Selling'],post,2
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,['to Sell OneMain to Springleaf for $4.25 Billion'],OneMain,0.283,['Corporate/M&A/M&A'],headline,0
$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,['reiterates conviction buy'],SPY,0.335,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE","['Another Sell Rating, Sell Ratings On']",FXE,-0.389,['Stock/Coverage/AnalystRatings/Downgrade'],post,2
Hargreaves Lansdown share price falls as costs mount - although pensions ...,['share price falls'],Hargreaves Lansdown,-0.514,['Stock/Price Action'],headline,2
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,['share price lifts'],Lloyds,0.292,['Stock/Price Action'],headline,0
$SPY wouldn't be surprised to see a green close,"[""wouldn't be surprised to see a green close""]",SPY,0.416,['Stock/Price Action/Bullish'],post,0
Sainsbury sales slip again as price pressures take a toll,['pressures take a toll'],Sainsbury,-0.303,['Stock/Price Action'],headline,2
Compass Group says positive for year ahead,['says positive for year ahead'],Compass Group,0.634,['Stock/Price Action/Future Price/Direction'],headline,0
SABMiller revenue hit by weaker EM currencies,['hit by weaker EM currencies'],SAB Miller,-0.439,['Market/Currency'],headline,2
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,['still very undervalued and has major upside'],NUAN,0.695,['Stock/Price Action/Bullish'],post,0
$FB slight green... May be runner later,['slight green... May be runner later'],FB,0.328,['Stock/Price Action/Bullish'],post,0
$WFT closng higher from here,['closng higher from here'],WFT,0.48,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
$TSPT  long 8.00,['long play'],TSPT,0.499,['Stock/Price Action/Bullish/Bull Position'],post,0
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,['MarketsShire up 2.5% '],Shire,0.487,['Stock/Buyside/Stock Buyside'],headline,0
Shire CEO steps up drive to get Baxalta board talking,['CEO steps up drive to get Baxalta board talking'],Shire,0.124,['Corporate/Strategy/Corporate Planning'],headline,0
"Long Position on $IP,....Scaling UP http://stks.co/sIln",['Long Position'],IP,0.662,['Stock/Price Action/Bullish/Bull Position'],post,0
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,['New MACD signal created on $CTXS - Buy at 77.09'],CTXS,0.49,['Stock/Signal/Buy Signal'],post,0
"$RUSS Don't catch falling knives, but I think an entry is coming soon on this","[""Don't catch falling knives""]",RUSS,0.1,['Stock/Price Action/Bearish'],post,1
$DXCM - Making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,['Making higher highs & higher lows'],DXCM,0.478,['Stock/Price Action/Bullish/Bullish Behaviour'],post,0
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,['EU regulator backs approval for GSK'],GSK,0.418,['Corporate/Regulatory'],headline,0
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.","[""I'm liking the price action""]",SWKS,0.603,['Stock/Price Action'],post,0
@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,['the potential of QNX BES10 and BBM  cross platform'],BBRY,0.284,['Corporate/Strategy/New Product'],post,0
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.","['Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.']",KGC,0.303,['Stock/Price Action/Current Price/Oversold'],post,0
Berkshire applies to boost Wells Fargo stake above 10 percent,['applies to boost Wells Fargo stake above 10 percen'],Wells Fargo,0.484,['Stock/Signal/Buy Signal'],headline,0
@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,['Strong close'],PLNR,0.523,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min","['Sell signal hit at 584, it will go down for the next 5 min']",AAPL,-0.445,['Stock/Signal/Sell Signal'],post,2
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,['$236 Million Jury Award Agains'],ExxonMobil,-0.459,['Corporate/Legal'],headline,2
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,['Grows Efforts To Create Loyal Customers'],NFLX,0.225,['Corporate/Strategy'],post,0
5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,['upgraded rating'],GOOGL,0.561,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",['benchmark investigation'],Shell,0.276,['Stock/Insider Activity/Insider Trading'],headline,0
ARM Royalties Accelerate as Smartphone Market Regains Strength,['Smartphone Market Regains Strength'],ARM,0.571,['Market/Market'],headline,0
$CRK time to accumulate for a long position with far more upside than downside,['time to accumulate for a long position'],CRK,0.668,['Stock/Price Action/Bullish/Bull Position'],post,0
$EDU bouncing nicely after add-on (posted),['bouncing nicely'],EDU,0.437,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Aviva weighs cash handout after beating profit forecast,['weighs cash handou'],Aviva,0.377,['Corporate/Dividend Policy'],headline,0
longed $AMZN 300 @ 189.82,['longed'],AMZN,0.65,['Stock/Price Action/Bullish/Bull Position'],post,0
$BWLD bearish engulfing candle,['bearish engulfing candle'],BWLD,-0.532,['Stock/Technical Analysis'],post,2
Spain's CaixaBank Expects To Close Deal For Banco BPI,['Expects To Close Deal For'],CaixaBank,0.375,['Corporate/Sales/Deal'],headline,0
AstraZeneca wins FDA approval for key new lung cancer pill,['FDA approval for key new lung cancer pill'],AstraZeneca,0.549,['Corporate/Regulatory'],headline,0
"$TSLA recalls 2,700 Model X cars. Stock dropping hard...","['recalls 2,700 Model X cars']",TSLA,-0.626,['Corporate/Risks/Product Recall'],post,2
$YANG Double bottom 5.2,['Double bottom'],YANG,0.23,['Stock/Technical Analysis'],post,0
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",['was right to reject the offer'],WGO,0.076,['Corporate/M&A'],post,1
$FIO won't stay down,"[""won't stay down""]",FIO,0.376,['Stock/Price Action/Current Price/Oversold'],post,0
"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",['Letting the calls ride solo now'],TZA,0.385,['Stock/Options/Strategies'],post,0
"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",['bubble might go on for some time'],TSLA,0.424,['Stock/Price Action/Bullish'],post,0
NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,['Settles At 3-year Low'],DBO,-0.563,['Stock/Price Action/Bearish'],post,2
$vxx adding to position here !,['adding to position here'],VXX,0.685,['Stock/Price Action/Bullish/Bull Position'],post,0
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,['is awful why did it force an upgrade on my pc without my consent?'],MSFT,-0.49,['Corporate/Risks/Product Flaws'],post,2
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.","[""hought there'd be some support around the 50d, but I guess not.""]",FB,-0.334,['Stock/Price Action/Bearish'],post,2
$NEON oversold,['oversold'],NEON,0.43,['Stock/Price Action/Current Price/Oversold'],post,0
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!","[""Apple mastered EVERYONE'S supply chain!""]",AAPL,0.461,['Corporate/Strategy'],post,0
#FusionIQ NEW Positive Timing Signal on $SBUX Today https://t.co/9ImlXz4YNa Please Retweet #Signals,['NEW Positive Timing Signal'],SBUX,0.341,['Stock/Signal/Buy Signal'],post,0
AstraZeneca suffers setback after drug fails to treat eye cancer,['suffers setback'],AstraZeneca,-0.392,['Corporate/Risks'],headline,2
$aapl.  Test the high today and probably go beyond after hours...,['Test the high today'],AAPL,0.505,['Stock/Technical Analysis'],post,0
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,['Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group'],Ennismore Group,0.198,['Corporate/Sales/Deal'],headline,0
Johnson Matthey revs up on clean air drive,['revs up on clean air drive'],Johnson Matthey,0.224,['Corporate/Strategy'],headline,0
$XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF,['Potential intermediate top in an Uptrend'],CRM,0.126,['Stock/Price Action/Bearish'],post,0
RT @ACInvestorBlog $AAPL still on track for $500,['still on track for $500'],AAPL,0.166,['Stock/Price Action/Future Price/Direction'],post,0
Primark racks up a happy Christmas after strong sales,['after strong sales'],Primark,0.704,['Corporate/Sales'],headline,0
$AMCN pushing highs,['pushing highs'],AMCN,0.543,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,['Receives New Rating'],ADBE,0.141,['Stock/Coverage/Credit Rating'],post,0
"$RNN day traders flushed out, it should start going up slowly from now on .",['it should start going up slowly from now on'],RNN,0.411,['Stock/Price Action/Bullish'],post,0
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",['shorts made a killing last couple days'],HLF,-0.334,['Stock/Price Action/Volatility/Short Selling'],post,2
BP joins forces with Det Norske in Norway,['BP joins forces with Det Norske in Norway'],Det Norske,0.248,['Corporate/Strategy/Company Agreement'],headline,0
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),['Set To Reinstate Dividend '],Balfour Beatty plc,0.413,['Corporate/Dividend Policy'],headline,0
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",['Agree on Plan for BPI Angola Exposure'],CaixaBank,0.244,['Corporate/Strategy/Company Agreement'],headline,0
$vxx starting to creep up while $spy sits near hod ...,['sits near hod'],SPY,0.141,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
AB InBev attacks SABMiller bid rebuffal,['attacks SABMiller bid rebuffal'],SABMiller,-0.158,['Corporate/M&A/M&A'],headline,2
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill","['Receives 7-Year, $50M Contract']",HSC,0.497,['Corporate/Sales/Deal'],post,0
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,['will go up much higher after this drop'],VIPS,0.479,['Stock/Price Action'],post,0
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,"[""declares 'best ever' Black Friday and Cyber Monday""]",AMZN,0.434,['Corporate/Sales'],post,0
"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA","['recalls 2,700 Model X SUVs']",TSLA,-0.424,['Corporate/Risks/Product Recall'],post,2
Credit Suisse poaches Prudential's Thiam for Asian push,['poaches Prudential's Thiam for Asian push'],Credit Suisse,0.125,['Corporate/Strategy'],headline,0
what is up with $HK..... from Jan to now it's been a sinking ship...,"[""it's been a sinking ship""]",HK,-0.573,['Stock/Price Action/Bearish'],post,2
$FB watching for bounce tomorrow,['watching for bounce tomorrow'],FB,0.366,['Stock/Price Action/Bullish'],post,0
$NFLX I say it's time to short at this point.,['time to short at this point.'],NFLX,-0.489,['Stock/Price Action/Volatility/Short Selling'],post,2
$RNN staying above the open a very good sign!!!,['staying above the open a very good sign!!!'],RNN,0.551,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,['lost .03c per share'],BBRY,-0.238,['Corporate/Financial/Financial Results/Earnings'],post,2
Tata Steel working with StanChart for UK unit sale - source,['with StanChart for UK unit sale - source'],StanChart,0.218,['Stock/IPO'],headline,0
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,['Partners With International Business Machines Corp. To Drive'],ARM Holdings,0.273,['Corporate/Strategy'],headline,0
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",['gross sales beat'],Old Mutual,0.724,['Corporate/Sales'],headline,0
Priceline's stock jumps to new high for the year after Barclays upgrade,['stock jumps to new high'],Priceline,0.847,['Stock/Coverage'],headline,0
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,['Lifts Dividend Again As Acquisitions Continue To Boost Profit'],Bunzl,0.401,['Corporate/Dividend Policy/Dividend/Dividend going up'],headline,0
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",['No real aspect?'],Aviva,0.324,['Corporate/Company Communication'],headline,0
"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast","[""I'd be short""]",FAST,-0.625,['Stock/Price Action/Bearish'],post,2
HSBC Hit by Fresh Details of Tax Evasion Claims,['Tax Evasion Claims'],HSBC,-0.594,['Corporate/Legal'],headline,2
"Aviva, M&G suspend property funds as investors panic",['M&G suspend property funds as investors panic'],M&G,-0.807,['Corporate/Risks'],headline,2
"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.","['Sales weak, margins down, debt still way up.']",SWY,-0.515,['Corporate/Financial/Accounting'],post,2
RBS will reportedly appoint Howard Davies as its next chairman,['reportedly appoint Howard Davies as its next chairman'],RBS,0.089,['Corporate/Appointment'],headline,1
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",['settles oil spill-related claims'],BP,-0.121,['Corporate/Legal/Settlement'],headline,2
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",['secure ownership of Ireland's Dundrum - Quick Facts'],JV Partner,0.427,['Corporate/M&A/M&A'],headline,0
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,['Wins $9.2 Billion Order From Emirates Airline'],Rolls-Royce,0.777,['Corporate/Sales/Deal'],headline,0
AstraZeneca to Buy ZS Pharma for $2.7 Billion,['to Buy ZS Pharma for $2.7 Billion'],ZS Pharma,0.593,['Corporate/M&A/M&A'],headline,0
Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,['was just upgraded to buy'],GOOGL,0.465,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
"$INO Up, up, and away!","['Up, up, and away!']",INO,0.604,['Stock/Price Action/Bullish'],post,0
$renn topping tail 5 min. chart at 7.31 short from here.,['short from here.'],RENN,-0.64,['Stock/Price Action/Bearish'],post,2
$FB i guess they want it down look at the those sell orders,['guess they want it down look at the those sell orders'],FB,-0.465,['Stock/Price Action/Bearish/Bearish Behaviour'],post,2
$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,['Can go much higher if it can break above'],UUP,0.171,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
easyJet expects resilient demand to withstand security fears,['expects resilient demand to withstand security fears'],easyJet,0.165,['Corporate/Risks'],headline,0
SAB's Chairman Digs In With Board Divided on InBev Offer,['Digs In With Board Divided on InBev Offer'],SABMiller,0.016,['Corporate/Reputation/Dispute'],headline,1
$WYNN big bounce,['big bounce'],WYNN,0.61,['Stock/Price Action/Bullish'],post,0
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls","['hammer candle developing, close to 200 sma']",TSLA,0.4,['Stock/Price Action/Bearish'],post,0
Tesco shares jump 6% after Christmas sales beat expectations,['jump 6% after Christmas sales beat expectations'],Tesco,0.814,['Corporate/Sales'],headline,0
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,['Losing 10 week here'],LULU,0.006,['Stock/Price Action/Bearish'],post,1
VIVUS $VVUS bear raid in effect. Stock down 12%,['bear raid in effect. Stock down 12%'],VVUS,-0.57,['Stock/Price Action/Volatility/Short Selling'],post,2
$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,['short boat is getting full on this one'],IWM,-0.262,['Stock/Price Action/Bearish'],post,2
$GPRO down 25% since Tue morning.,['down 25% since Tue morning.'],GPRO,-0.527,['Stock/Price Action/Bearish'],post,2
$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,['breakout very likely'],GOOG,0.518,['Stock/Technical Analysis/Breakout'],post,0
Royal Mail chairman Donald Brydon set to step down,['set to step down'],Royal Mail,-0.374,['Corporate/Appointment'],headline,2
long $SDLP $CPGX $TWTR $BITA $LABU $FB $TSLA $ETE $SDRL  Autocharts @ https://t.co/nxLx1ES7nY,['long'],TWTR,0.488,['Stock/Price Action/Bullish/Bull Position'],post,0
Short more $FAZ for all who don't know that means markets will tank now :-p,"[""for all who don't know that means markets will tank now""]",FAZ,-0.605,['Stock/Price Action/Bearish'],post,2
$ISRG PT raised to $700 from $640 at Leerink - keeps Outperform rated,['keeps Outperform rated'],ISRG,0.489,['Stock/Coverage/Stock Coverage'],post,0
$GPS Gap September Comparable Store Sales -4%,['September Comparable Store Sales -4%'],GPS,-0.441,['Corporate/Sales'],post,2
bot $AMZN 600 weekly calls here @ 5.93,['bot $AMZN 600 weekly calls here'],AMZN,0.659,['Stock/Price Action/Bullish/Bull Position'],post,0
Unilever profit rises despite sales slump in China,['despite sales slump'],Unilever,0.213,['Corporate/Sales'],headline,0
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",['RBS must pay $806 mln in mortgage bond case-'],RBS,-0.69,['Corporate/Legal/Settlement'],headline,2
Zurich Insurance Considering Offer for UK Rival RSA Insurance,['Insurance Considering Offer for UK Rival RSA Insurance'],Zurich Insurance,0.25,['Corporate/Rumors/Rumors'],headline,0
Morning Agenda: Shire's Deal for NPS,['Shire's Deal for NPS'],Shire,0.195,['Corporate/Sales/Deal'],headline,0
$fb small long 109.25 via calls,['small long'],FB,0.352,['Stock/Price Action/Bullish/Bull Position'],post,0
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,['turns back down in early trading'],FB,-0.393,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
Tesco PLC's Recovery Continues With A ÃÂ£250m Cash Infusion,['Tesco PLC's Recovery Continues'],Tesco,0.337,['Stock/Fundamentals'],headline,0
GSK and Novartis complete deals to reshape both drugmakers,['complete deals to reshape both drugmakers'],Novartis,0.264,['Corporate/Strategy/Reorganization'],headline,0
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now","['even though the ""report"" is untrue and has been proven unture, the damage is done']",SINA,-0.55,['Corporate/Reputation'],post,2
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,['increase dividend pay-out'],Aviva,0.439,['Corporate/Dividend Policy'],headline,0
$AAPL short some 592.49,['short some'],AAPL,-0.464,['Stock/Price Action/Bearish/Bear Position'],post,2
InterContinental Hotels Denies Reports of Starwood Merger Talks,['Denies Reports of Starwood Merger Talks'],Starwood,-0.078,['Corporate/Rumors/Scoop'],headline,1
$brcm raises revenue forecast,['raises revenue forecast'],BRCM,0.367,['Corporate/Financial/Financial Results/Earnings/Company Guidance'],post,0
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",['Reports Strong 2015 Growth'],WPP,0.555,['Stock/Fundamentals'],headline,0
$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,['Inside week buy triggers'],LOCO,0.485,['Stock/Technical Analysis'],post,0
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,['Semiconductor offers to buy Integrated Silicon Solution'],Integrated Silicon Solution,0.461,['Stock/Signal/Buy Signal'],headline,0
Diageo sales disappoint as currency and comparatives leave bitter taste,['sales disappoint'],Diageo,-0.545,['Corporate/Sales'],headline,2
$SIGA Bid for Reargument Denied by Judge,['Bid for Reargument Denied by Judge'],SIGA,-0.354,['Corporate/Legal'],post,2
Shell share price: Standard Life announce position against BG acquisition,['Standard Life announce position against BG acquisition'],Shell,-0.134,['Corporate/M&A/M&A'],headline,2
$TSLA upgraded to Buy @ Argus w/ $333 PT - you'd almost think after ~100pt run in 5 weeks this would be the sell signal,['upgraded to Buy'],TSLA,0.349,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
$CAMT Looks like might break down. I'm out,"[""Looks like might break down. I'm out""]",CAMT,-0.516,['Stock/Price Action/Bearish/Bearish Behaviour'],post,2
Tesco share price down as grocer faces SFO investigation outcome,['share price down'],Tesco,-0.542,['Stock/Price Action'],headline,2
"BHP Billiton slashes dividend, posts $5.67 billion net loss",['slashes dividend'],BHP Billiton,-0.341,['Corporate/Dividend Policy'],headline,2
Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,['Android two-factor authentication is breakable'],GOOG,-0.309,['Corporate/Risks/Hacks'],post,2
EU regulator backs approval for GSK injectable asthma drug,['regulator backs approval for GSK'],GSK,0.379,['Corporate/Regulatory'],headline,0
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,['Lender Cuts Dividends to Shore Up Capita'],Barclays,0.261,['Corporate/Dividend Policy'],headline,0
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,['at resistance right here...sold my shares'],AAPL,-0.238,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",['3 must-have growth stocks?'],ASOS plc,0.0,['Corporate/Rumors/Scoop'],headline,1
$BAC in for swing trade  looks like want go up,['in for swing trade looks like want go up'],BAC,0.433,['Stock/Price Action/Bullish/Bull Position'],post,0
$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7,['study the charts'],TSLA,-0.3,['Stock/Technical Analysis'],post,2
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,"[""any rally beyond today's levels or into this range leads to meltdown.""]",DIA,-0.172,['Stock/Price Action/Bearish'],post,2
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,['AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal'],ZS Pharma,0.52,['Corporate/M&A/M&A'],headline,0
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",['is 'taking legal advice''],EasyJet,-0.238,['Corporate/Legal'],headline,2
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,['set to complete $20 billion Novartis asset swap next week'],Novartis,0.189,['Corporate/M&A'],headline,0
Johnson Matthey share price slumps as company posts full-year results,['share price slumps'],Johnson Matthey,-0.626,['Stock/Price Action'],headline,2
CORRECTED-Shire to buy Dyax for about $5.9 bln,['Shire to buy Dyax for about $5.9 bln'],Shire,0.402,['Corporate/M&A/M&A'],headline,0
"$SBUX down PM, from $DB downgrade.. PT cut from 70 to $64","['down PM, from $DB downgrade']",SBUX,-0.531,['Stock/Coverage/AnalystRatings/Downgrade'],post,2
$COST Costco less than stellar day but it held the 50 day moving average,['held the 50 day moving average'],COST,-0.14,['Stock/Technical Analysis'],post,2
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,['Support Deutsche Boerse-LSE Merger'],LSE,0.358,['Corporate/M&A/Proposed Merger'],headline,0
WPP wins race for 'programmatic buying' agency Essence Digital,['wins race for 'programmatic buying' agency Essence Digital'],WPP,0.238,['Corporate/M&A/M&A'],headline,0
